string_value,Category
it took over an hour of listen to a 15 second loop of music which meant it was essentially impossibele to get any work done.,long_holdtime
"while once i connected to a person they made it sound like an unusual occurance that it took over an hour to speak with someone, my experience is that calling it it always takes a long time anyway and the it department does not have anyway of handling a surge on top of that.",long_holdtime
even a message saying wait times are longer a general update on the problem many people are facing and a message that says that if this is not urgent it might be recommended to try back the next day would be helpful.,long_holdtime
"the low ratings i selected related to the inordinate amount of time i had to hold, three times, to get a response.",long_holdtime
"so, i had to get back on the phone for a third time and wait another 45 minutes for help.",long_holdtime
"hold times are very, very long.",long_holdtime
although i had to wait a long time for a call back i truly appreciate that option!,long_holdtime
"however, i was on hold for about 2 hours and did receive a call back eventually.",long_holdtime
"wait times, lack of advance notice of need for password reset and systems affected, need for multiple call backs...all unacceptable.",long_holdtime
waited several hours for call back,long_holdtime
took over 40 minutes on hold before the service desk agent came on,long_holdtime
"the unhappy part was the 40 minute wait for a technician, the happy part was getting lj to help me, he was quick, personable, explained everything well and made me laugh in a stressfull situation.",long_holdtime
i was on hold for 45 minutes before someone took my call.,long_holdtime
i was on hold for 2.5 hours for a computer that would not restart.,long_holdtime
long wait on hold over 30 minutes.,long_holdtime
first i tried calling and was on hold for more than 30 minutes with no update or indication of where i was in the line.,long_holdtime
"although it took 2 hours the second time called it to resolve this issue, the gentleman who answered my call was very professional, kept his tone of voice even, encouraged me, and assisted me with this issue.",long_holdtime
i waited on the phone for an hour and a half.,long_holdtime
"waited on the phone for 45 minutes before someone answered, but the service desk was able to help me quickly and put a service request out.",long_holdtime
the only problem i encountered was waiting on hold for almost 50 minutes.,long_holdtime
~20minute wait time before call answered.,long_holdtime
i would have rated my experience a 10 except i wait 25 minutes to speak to someone.,long_holdtime
i still cannot get in and i'm on hold for the helpdesk again and i have meetings that start in 30 min.,long_holdtime
waited on hold on the phone for over 40 minutes without anyone picking up.,long_holdtime
the hold time is outrageous other than that ben did a great job and resolved and explained to me the issue.,long_holdtime
i was on hold for over an hour (between two different calls since i don't have time to be on hold for that long.,long_holdtime
but i had to wait on hold for a long time,long_holdtime
i was on hold for 35 minutes before speaking to a representative.,long_holdtime
wait time for tech to answer call was really insane....called the help desk and was on hold for 2 hours first attempt.,long_holdtime
2nd attempt was on hold for 55 minutes before speaking to a initial service desk person.,long_holdtime
"especially unhappy of this error by the live person who took callk, since i had waited a total of 3 hours to finally speak to someone.",long_holdtime
"but, i waited on hold to be helped for 38 minutes.",long_holdtime
a 38 minute wait is very frustrating.,long_holdtime
just had to wait 40 minutes to get service.,long_holdtime
"long time on hold, but when the assistant came online, resolution was quick.",long_holdtime
long wait to talk to someone on phone,long_holdtime
"however, i gave a 1 score for the time it took to resolve my issue because i had to wait on hold for 45 minutes to get through to someone to help me.",long_holdtime
robertin was great and timely-the wait to get help was 1 hour and 5 minutes and that was not so great-thank you,long_holdtime
the challenge is with the the phone call in and hold time.,long_holdtime
i could have had this fixed a day earlier but after 3 hours of hold time i gave up.,long_holdtime
"no one called me back, no one fixed my issue and so now i’m starting over and waiting again.",long_holdtime
this after waiting about 40 minutes for the first callback to get help in the first instance.,long_holdtime
the wait for the help desk was terrible  i called back 4 times waiting greater than 3o minutes each time between meetings and finally after 9pm again waiting 45 minutes before giving up and calling back again this morning.,long_holdtime
would like the phone wait to be shorter,long_holdtime
"however,  the wait time for someone to get on the phone to help was long.",long_holdtime
i had to wait for 50 minutes.,long_holdtime
"the agent was excellent, however the hold time was excessive.",long_holdtime
i waited > 20 minutes and got called but was back @ 5minutes and the virtual agent hang up.,long_holdtime
the wait time to speak to an agent was way too long over 25 min.,long_holdtime
it took a very very loooooong time to get a hold of anybody.,long_holdtime
"seriously, i was on hold for over 45 minutes which is not good as it disrupts our workflow.",long_holdtime
"other than that, the wait time is horrendous.",long_holdtime
"other than being on help desk hold for more than 45 minutes, the assistance i received was, as always, amazing.",long_holdtime
downside: i was on hold waiting for help desk to answer for over 18 minutes,long_holdtime
took over 15 minutes just to speak to someone and then another 3 hours before i received a call back.,long_holdtime
"there was a little wait to get someone on the phone, but when i did, the representative was patient, helpful, and kind.",long_holdtime
"may be something could be said during the hold time that someone will be with me, would be nice.",long_holdtime
as i wasn't sure if i was calling before hours.,long_holdtime
waaaaay too long on hold when dead in the water.,long_holdtime
the hold time is terrible.,long_holdtime
"i called last thursday and was on hold for a bit, but ultimately decided to drop based on the message that wait times were extended.",long_holdtime
"then i called on friday and wasn't connected to a representative for 45 minutes, and that representative redirected me back to the queue because he couldn't help reset my clarity password.",long_holdtime
i waited for another 40 minutes before giving up on that.,long_holdtime
then i waited on hold today for about 20 minutes this morning before getting an extremely competent rep who resolved my issue in less than 5 minutes.,long_holdtime
long wait time.,long_holdtime
"the agent, nicole, placed me on hold and indicated it would just be ""a moment"".",long_holdtime
"after waiting for almost 20 minutes on the phone, i was informed to email kp telemedicine to resolve my issues.",long_holdtime
also had to cancel a patient appointment because of the wait time to get a hold of a rep (20+ min).,long_holdtime
"i was locked out, during the clinic day - in between patients, and the call took 25 minutes.",long_holdtime
about 23 minutes was hold time.,long_holdtime
the hold time is simply too long.,long_holdtime
the wait time is a bit much but i was helped quickly,long_holdtime
one day i wait 4 /12 hours and never got through to the help desk.,long_holdtime
now to spend 2 hours on the phone trying to get a hold of someone,long_holdtime
"i spent a significant amount of time on hold to talk to the first service representative, but after than the service was excellent!",long_holdtime
the wait time initially to speak with someone was the only negative with this issue.,long_holdtime
the wait time for each it support this year is longer than last year.,long_holdtime
i would have given 5 star and diamond certified service if i didn't have to wait 25 minutes on hold before he answered.,long_holdtime
my main issue was the overall 45 minute plus wait time on the phone - pleased with the service received.,long_holdtime
"the wait time, however was long 30+ minutes.",long_holdtime
"the wait time was long, over 36 minutes.",long_holdtime
the issue was not resolved i try calling again and wait time is too long,long_holdtime
on hold for over 30 minutes friday- 2/26 and saturday 2/27.,long_holdtime
just had to wait a long while on the phone but excellent customer service once connected.,long_holdtime
had to wait 5 mins to connect to support.,long_holdtime
"except the waiting time on the phone call to get connected to the service desk, everything else was done pretty quickly.",long_holdtime
it was hard to report issue as it was an extremely long wait time on the phone.,long_holdtime
"besides the long wait time, which is understandable due to multiple it issues recently, i was happy with how friendly both tech support representatives were.",long_holdtime
wait time for a customer representative was too long,long_holdtime
i took points off because of long wait on the phone.,long_holdtime
"outstanding service, however, the wait on hold to get to the help is way too long.",long_holdtime
we lost connection after a few minutes (i've been holding for over an hour).,long_holdtime
i waited for a few minutes... nothing.,long_holdtime
on hold 25 minutes,long_holdtime
too long of a hold time to get someone on the line to help,long_holdtime
the wait time was too long to get an it person on the phone is the only negative feedback i have.,long_holdtime
"hold time was over 30 min, once i received the representative thomas was great.",long_holdtime
the wait time can be shorter.,long_holdtime
the wait to get help was so long but once i got the person to help me she was very patient an helped to  resolve the problem quickly.,long_holdtime
"waiting on hold when with a patient and doctor was the only issues, not prompt enough .",long_holdtime
10 min on hold before i received service,long_holdtime
waited a long time on hold to speak to first person.,long_holdtime
he was very nice and warm transferred me to second tier - appreciated not being put on hold again!,long_holdtime
wait time on the phone was 25 min and problem still not resolved,long_holdtime
"wait time on hold (for initial call) was a little long and hold music was so, so awful - very repetitious",long_holdtime
wait time was to long before associate got on the phone.,long_holdtime
"however, the wait time was close to 30 mins.",long_holdtime
"the help with the problems was excellent once i was connected, but it took a very long time to get connected to someone (this, of course, was not the fault of the person helping...)",long_holdtime
long wait time while waiting for support.,long_holdtime
approximately 17 minutes on hold before connecting with someone.,long_holdtime
"my only complaint is that when the service desk transferred me to virtual support, the phone rang and rang and rang and then the line was discconected, soi had to call back into the service desk to be transferred at which time i was given the 800# to reach out to virtual support should my call get disconnected again (this took 40 mins on hold from when i first called, to the second time i called.",long_holdtime
it took more than 2 hours which was too long to get my ticket inc10715479 resolved.,long_holdtime
"i have to close my computer to see the am #, so the chat disconnected - a huge bummer given i waited for a while in the que",long_holdtime
"while the wait time was a little long (20 minutes at the most), it was tolerable.",long_holdtime
third time i only waited on hold about 6 minutes (really not bad for an it department) but then the person i spoke with just sounded annoyed.,long_holdtime
the hold time when i call the help desk is very long no matter if i call during the week or on a weekend.,long_holdtime
the only complaint is phone holding/waiting time.,long_holdtime
20 minutes on hold; but it was sunday.,long_holdtime
on hold for about 15 min.,long_holdtime
"other than the wait time, everything was excellent!",long_holdtime
"despite the wait being a little longer than desired, the service itself was great!",long_holdtime
the waits are always terrible-i have found the reps to be great though-wish something could be done with the long waits-thank you.,long_holdtime
in this case i had to wait 25 minutes yesterday for 1st contact-then the new ticket was needed and i needed to call in again if i did not want to wait another day to resolve.,long_holdtime
i called the kp helpdesk and waited one hour for the callback but never received it so i called my local physician healthconnect helpdesk who transferred me to the physician kp helpdesk and the wait was shorter.,long_holdtime
too bad it takes so long on hold.,long_holdtime
"excellent service once i got to talk to the it staff, waiting online and robotic service horrible experience especially if the system locked my account 5 minutes before i start seeing patient with full schedule",long_holdtime
the wait was a bit too long but the technician was very knowledgeable and helpful.,long_holdtime
there was a fairly long wait.,long_holdtime
long wait on hold,long_holdtime
long wait for call to be answered was only issue,long_holdtime
"other than a long wait time for a technician to pick up, service was great.",long_holdtime
the only drawback was the help desk wait time.,long_holdtime
problem resolved quickly after 20 minutes on hold,long_holdtime
the waiting time for real time response took approximately 15- 20 minutes.,long_holdtime
had to wait over 5 minutes on the line to get connected.,long_holdtime
took way too long to reach a technician.,long_holdtime
the wait for anyone to pick up was an hour long.,long_holdtime
i rank the hold time a 3; the wait was long.,long_holdtime
yesterday i was on hold for 39 minutes and then just hung-up the phone.,long_holdtime
"the second tech did not do this and after 2 1/2 hours i called back, had to wait through all the cues and then when i checked my ticket status, i was given the phone number of the tech who was assigned my case.",long_holdtime
i called back around 1115 later that day and was put on hold for > 45 minutes.,long_holdtime
"i had to wait awhile before the tech came on the line, but once answered, the encounter was quick and efficient.",long_holdtime
only concern i had was the long wait time prior to help desk support.,long_holdtime
20 minute wait -- but it was worth it!,long_holdtime
"once on with the service desk everything was great, but it took 4 different phone calls on different days and waiting on hold for a total of over an hour to get through.",long_holdtime
i was on hold longer than it took to resolve the issue.,long_holdtime
"the hold time was a little long, but otherwise excellent service as always!",long_holdtime
"waited on hold, with no option for call back for 45 mins, my entire computer was not functioning.",long_holdtime
long wait on the phone.,long_holdtime
a 5 for the first answer was for waiting on a call back.,long_holdtime
i waited over 90 minutes.,long_holdtime
i called back again and then chose the hold/wait in queue option and my call was answered almost immediately.,long_holdtime
third time i just waited on hold and was finally able to get help.,long_holdtime
"help desk hold times are ridiculously long but overall effective experience, both the first- and second-level teams...once i got through...",long_holdtime
the time on hold to get to hanna could be improved.,long_holdtime
"also, the virtual hold time never called me back (waited over 3 hours) resulting in me having to call back in.",long_holdtime
took a long time in the queue before getting to someone.,long_holdtime
i waited about 17 minutes before got helped; my patient had to wait for 15 minutes.,long_holdtime
"hold time sucked, once on phone with someone he resolved it quickly.",long_holdtime
long waiting time,long_holdtime
wait time to talk to someone was fairly lengthy.,long_holdtime
"however, i only reached paige after getting cut off after being on hold for 30 minutes twice - phone rang and then hung up, and after getting cut off after two minutes of speaking to another it person.",long_holdtime
"by the time i reached paige, i'd been waiting at least 90 minutes total.",long_holdtime
"again, she was awesome but it was so frustrating to have to be on hold and disconnected multiple times.",long_holdtime
i was unable to obtain assistance during weekdays (my normal work schedule) -- left on hold for hours and no returned calls when i scheduled an appointment.,long_holdtime
"however, the service was immediate and excellent when i called in on the weekend (during my non-working hours).",long_holdtime
the work requested took less than 5 minutes!,long_holdtime
"technician was great, but the wait on hold is horrible.",long_holdtime
"wait time to speak to a rep was very long, but once connected the experience was top notch.",long_holdtime
"overall the person that helped me was very helpful, but the waiting for someone to help took too long.",long_holdtime
"only issue was the wait time, which took about an hour.",long_holdtime
waited 30 min on the phone and had no help whatsoever.,long_holdtime
wait times to connect with an agent (i had to call 3 times) are unacceptable.,long_holdtime
i called and was on hold for 15 mins.,long_holdtime
"gave up, put in ticket online and it was resolved in what seemed like 2 minutes.",long_holdtime
long wait time but quickly resolved once i got a tech on the phone.,long_holdtime
long wait time to speak with someone.,long_holdtime
"once i did speak with someone, issue was quickly resolved in a few minutes.",long_holdtime
i spent more time waiting than the issue itself.,long_holdtime
"it was 0600 and i waited for 15-20"" to reach it and then the it person told me exactly what i needed to do to get my computer running again.",long_holdtime
i would have liked to get a person on the phone sooner than waiting 15-20 minutes.,long_holdtime
it took a long time and the level two people did not give a f/u phone number snd as the uc doctor and nurses and other techs al  kept calling i had no new news to offer them about what was going on.,long_holdtime
the wait time on the phone was fairly long but once i had the person on the phone it was resolved fairly quickly.,long_holdtime
wait time to initially receive a live person took 20-25 min.,long_holdtime
too long of a wait.,long_holdtime
joshua was great but there was an extended wait time before i was able to speak with him.,long_holdtime
long time waiting to get to someone,long_holdtime
the wait is too long,long_holdtime
wait time was long.,long_holdtime
"i waited on hold for 30 minutes, had a tech on line, the call ended and i didn't get a call back.",long_holdtime
over two days i spent over an hour on hold.,long_holdtime
please consider a better system for managing hold time and returning dropped calls.,long_holdtime
the only negative part of the experience was being on hold for nearly 15 minutes when i first called the help center.,long_holdtime
please staff the help center more adequately so hold times are not so long!,long_holdtime
felt like a very long wait however.,long_holdtime
issue was fixed quickly only wish didn't have to wait so long on hold.,long_holdtime
"long wait time, but super happy with the help i got.",long_holdtime
the wait time was long but i was warned about that.,long_holdtime
"the hold time was extremely long but the service was excellent, as usual.",long_holdtime
only issue was the amount of time spent on hold to speak with a technician.,long_holdtime
20 minute wait time.,long_holdtime
the wait time on phone was too long.,long_holdtime
"i then asked if that would cause a single icon out of a group to no longer display, he said sure it would, then as i tried to say something, he ended the screenshare, and disconnected the phone on me, and logged and closed this ticket!",long_holdtime
i sat on hold for 35 min or so before even getting to talk to someone and i get someone that clearly doesn't know what they are talking about!,long_holdtime
i spent far too long waiting for a call back,long_holdtime
the waiting time is way too long.,long_holdtime
"the wait time quite long but i was glad to not need to hold on, it took a while for someone to call me back.",long_holdtime
long phone wait for it desk.,long_holdtime
after lunch i was locked out of everything again and then on hold with it for over an hour to get this resolved.,long_holdtime
i find that wait time excessive especially since it is the emergency dept.,long_holdtime
"the tech that finally resolved the issue was great and didn't give up until the issue was resolved, but the hold time was not treated like an emergency.",long_holdtime
long wait on the phone for assistance but problem quickly resolved as soon as technical support available.,long_holdtime
i would have scored much higher if i didnt have to wait on hold for an hour.,long_holdtime
the oh-hold time was quite long to wait for initial service desk technical contact.,long_holdtime
i was on the chat line for an hour.,long_holdtime
i heard from her about 50 min later (on hold) she tried to transfer me and said she did not have that ability.,long_holdtime
i wasted 1 hour of kaiser time.,long_holdtime
the wait time is pretty terrible.,long_holdtime
i was waiting for a rep for almost an hour.,long_holdtime
i waited 35 minutes on hold to install a driver for a printer connection.,long_holdtime
had to have my administrator do for me because hold time on phone way too long.,long_holdtime
"however, i was on hold for about an hour until someone from the help desk was able to get to my call.",long_holdtime
"i was without a computer for nearly 2 day, and had to call more than 24 hours after my first call.",long_holdtime
"very frustrating to call and hold that long, twice.",long_holdtime
very quick once on the phone with a rep - despite a long wait time.,long_holdtime
"was on hold for a while, but once paul picked up service and experience was a 10!",long_holdtime
wait time was over 20 mins,long_holdtime
getting to a person took long time especially only one registration area for the department  with only one computer .,long_holdtime
long hold time like always,long_holdtime
the wait time!,long_holdtime
the wait time on hold is too long!,long_holdtime
option 1 states if you are with provider or patient select option 1. i waited on the first call 16 minutes and second wait time was 15-17 minutes and the second call was not option 1.  i hung up on both as i didn't have that kind of time to hold.,long_holdtime
i called again a third time and again the wait time was 15 minutes.,long_holdtime
we cannot remove patient from exam room because computer is freezes up in the middle of rooming and the wait time is not appropriate.,long_holdtime
"having to wait on hold for more than twenty minutes to speak with someone from the service desk was not great; though when i was finally able to speak with sandy, she was very helpful and had a calming effect.",long_holdtime
"it would be great to have as all it issues resolved as quickly and pleasantly as this issue, but without the long wait time on the phone.",long_holdtime
was on hold for about 40 minutes,long_holdtime
"other than the long hold time of about 20 minutes, the help was fast, efficient, and friendly!",long_holdtime
the tech was fast and efficient how ever the wait to get to a tech was 20 minutes to long,long_holdtime
only because the wait time was so terrible 42 minutes and another day i left a message to call back and they never did.,long_holdtime
wait time was long,long_holdtime
a little bit of a wait but i know kaiser is a big company don's service made up for the wait!,long_holdtime
waited for good half hour for pick up and then problem was not solved,long_holdtime
i was on hold for about 15 mins before anyone picked up.,long_holdtime
wait time for service desk to pick up my call was about 35 mins.,long_holdtime
on hold for close to 45 minutes which was not good.,long_holdtime
35 minutes on hold with constant horrible music... could be better,long_holdtime
i was on hold for over thirty minutes.,long_holdtime
i am very pleased with the support i got once i got through the waiting time.,long_holdtime
i had to wait ~ 20 minutes for a tech to talk to me.,long_holdtime
"person helping was great, but to the hold time to get to that person is crazy --  there's got to be a more efficient way to reset a password",long_holdtime
wait time was a little long,long_holdtime
it would be nice if phone wait times could be decreased.,long_holdtime
wait time for a technician was about 10 min a little lengthy.,long_holdtime
"i had to wait a long time before my call was answered - about 20 min, but once the technician answered it was fast, and he resolved my problem.",long_holdtime
i did have to wait awhile for someone to pick up my call.,long_holdtime
my only complaint was how long i had to wait on hold for support.,long_holdtime
"other than being on hold for 25 minutes, i was extremely satisfied with the person who helped me resolve the issue.",long_holdtime
wait time of 30 minutes did not make me happy but the service once cononected was examplary !,long_holdtime
it takes too long for someone to answer the phone.,long_holdtime
"1st time, i waited 25 min., second time 9 minutes and the finally got an answer the 3rd time after waiting 11 minutes.",long_holdtime
"quick fix, but a pretty long wait.",long_holdtime
i was on hold for awhile around 15 minutes.,long_holdtime
time it took to resolve issue -- hold time was 15 minutes but it was a monday morning.,long_holdtime
"on ""hold"" for 30 minutes before fernando was assigned to my issue.",long_holdtime
the time on hold waiting to speak with the technician could be improved.,long_holdtime
"super long wait on hold, but service desk very helpful when i got through.",long_holdtime
the wait time to speak to a representative is super long.,long_holdtime
"please, do something to improve the wait time.",long_holdtime
"the phone wait time was the longest at over 45 minutes, the it agent fixed issue fast.",long_holdtime
hold times are long.,long_holdtime
wait time to get call was 45-1hr.,long_holdtime
i wish the wait time could be shorter.,long_holdtime
i was on hold for about 25 minutes before someone was available.,long_holdtime
since this is during patient care times i had to choose best time for me to reach out rather than wait for a call back.,long_holdtime
"wait on hold to speak with someone was a bit long, but technician was very helpful and quick once i spoke with him.",long_holdtime
i waited on hold for an hour to get help activating my new iphone.,long_holdtime
it take a long time to get a respond from a technician.,long_holdtime
after being on hold for 1 hour and 10 minutes service rep was very rude and informed me i need to be on the page with the issue .,long_holdtime
services were no longer needed.,long_holdtime
wait time very long to call national service desk.,long_holdtime
great experience but wait time was over an hour long.,long_holdtime
excellent service but very long wait time to talk to a technician.,long_holdtime
"the only complaint is the time on hold, which was almost an hour.",long_holdtime
"i was extremely frustrated on 3/22/21, i was on hold with the help desk for a total of 90 minutes and nobody ever picked up the call!",long_holdtime
it took half hour before i got someone on the phone.,long_holdtime
wait time was too long,long_holdtime
it took longer than expected for a tech to pick up on the call,long_holdtime
the wait was long but it's worth it once the problem was solved.,long_holdtime
i was on hold for about 18 min but once i got through it was taken care of within a few minutes.,long_holdtime
took a long time on phone to actually talk to a person(website was down) but once i did the issue was resolved quickly,long_holdtime
just had to wait a while before a tech specialist was available.,long_holdtime
"the wait times are way too long, have to hold for up to a half-hour at times.",long_holdtime
wait times were much better with the  in-house kpwa help desk.,long_holdtime
"after spending over 40 minutes on hold to speak with someone, once i explained issue, they remoted into my computer, did an install and then basically hung up without even asking if i had any questions, needed assistance or to see if the application even worked.",long_holdtime
"the wait was very long, however the it technician did help and walk me through the process.",long_holdtime
the help kind of off set the long wait.,long_holdtime
horrible service i waitied over an hour 1 hour and 3 minutes on hold help desk then hr connect it never contacted me!!!,long_holdtime
i waited on hold for 45 minutes for someone to hang up.,long_holdtime
now i have to call and be on hold again,long_holdtime
wait time to speak to a representative was very long,long_holdtime
"the wait time was prohibitively long and inconvenient, but it was essential for me to regain access to my p drive and shared drives in the office.",long_holdtime
"the hold time was long, but the fix was extremely quick.",long_holdtime
(2)the waiting time to get a tech is too long.,long_holdtime
"i called service number 2 times because 1 st time, i waited for about 25 mins and i am unable to wait on the phone.",long_holdtime
i was waiting on a chat response from a coworker to get additional info to help solve my it issue.,long_holdtime
"my coworker replied in less than 1 minute, but my it person hung up before helping me.",long_holdtime
"i waited on hold for 30 mins, and will now have to call back.",long_holdtime
"waiting time was long, but jonathan was awesome!",long_holdtime
the wait time is the only issue.,long_holdtime
waited approximately 30 minutes on the second call to receive help.,long_holdtime
i had an 50 minute wait time for the tech to resolve my issue in under 2 minutes,long_holdtime
i cannot wait on hold for over 45min waiting to place a ticket.,long_holdtime
also a patient should not have to wait over 48 hours for an ekg to be unlocked so a cardiologist can interpret it.,long_holdtime
"wait time was 40 minutes, but it really helped that i got a call back rather than having to wait on hold at that time.",long_holdtime
"i waited 45 minutes, but the woman was very pleasant and helpful.",long_holdtime
"was a longer wait than i would have liked but appreciated the call back, and once the technician was on the phone it was very fast and easy",long_holdtime
all was great except hold time was 45 minutes,long_holdtime
"if i had known in advance of calling the help desk how to add a data plan to a phone, i would have followed the steps, instead of being on hold and then waiting for a call back close to an hour.",long_holdtime
wait time was the worse once connected representative was efficient and pleasant,long_holdtime
long wait times,long_holdtime
"wait time was a bit long, but once i got through, the problem was resolved quickly and efficiently.",long_holdtime
hold times are terrible!,long_holdtime
the hold times for kpwa were never anything like what we are experiencing now.,long_holdtime
"support i received was excellent the only item that gets an ""f"" is the wait time to get help...57minutes.",long_holdtime
"it took me 50 minutes of hold time to get on the phone with the it department initially but once i spoke to them, it was resolved quickly and efficiently.",long_holdtime
"most days, i would not have had time to hold on the phone for that long.",long_holdtime
the 2 1/2hrs of wait time was the sole reason for the negative rating.,long_holdtime
because of him i was no longer upset with the wait time and was able to focus on my technical needs.,long_holdtime
the time on hold was long.,long_holdtime
three calls to it today and at least an hour holding on each call.,long_holdtime
was on hold waiting for tech for 42 mins.,long_holdtime
"can’t unlock my calling on the chat, call was on hold for 30 mins, the rep on the chat can’t call my number to unlock my account.",long_holdtime
there is no way to unlock except for waiting another 30 mins or so.,long_holdtime
the wait time on hold was quiet long but overall but the service received from the support team member was excellent.,long_holdtime
i got great support but i had to wait on hold for over 15 minutes to finally speak to someone.,long_holdtime
"but, i was on hold to speak with someone for 20 minutes.",long_holdtime
"if there is any way to make this wait less, it would be very helpful.",long_holdtime
being in a busy dept and having to wait this long is really hard.,long_holdtime
"waiting for it, not so much.",long_holdtime
20min wait.,long_holdtime
"long hold time 20plus mins, response took 2-3 hours at that time we had resolved the issue.",long_holdtime
the wait was just too long to get to a service desk employee.,long_holdtime
horrible service i waited  over an hour on hold for help desk then they put ticket in and no one ever called me for hr connect it support.,long_holdtime
hr wait times are a disgrace.,long_holdtime
"last time i called hrsc, wait time was supposed to be 2 hrs, i received a call back 5 hrs later.",long_holdtime
it still took 15 minutes on hold to have my call answered.,long_holdtime
the wait time was over an hour - a person joined me at 5:03 p.m. as i was shutting/rebooting and said that it would be best to just open a ticket and talk to someone in the morning.,long_holdtime
long wait time,long_holdtime
"however, waiting for someone to get my call took 30 mins.",long_holdtime
"the wait times to speak with a representative was pretty long, 1/2 hour for the first rep, but not too long for the second person",long_holdtime
i cant understand why it takes 20+ mins to get ahold of anyone there?,long_holdtime
we shouldn't have to  be on hold that long.,long_holdtime
very long hold time (>30 minutes) with a patient waiting for results.,long_holdtime
"however, once the it representative picked up, he had it resolved in just a couple of minutes.",long_holdtime
waited very long to be helped.,long_holdtime
you are holding on line for 25 min or longer.,long_holdtime
the only concern i have is that it took about 2 hours to get a response.,long_holdtime
on hold forever!,long_holdtime
i then had to wait 30 minutes again to get my issue resolved.,long_holdtime
"just took too long to get through the phones (no answer at 888-457-4872, 15 minute wait listening to the same on-hold music at  1-206-630-6700).",long_holdtime
have to hold for a long time to get help.,long_holdtime
phone wait time was very long but service excellent once it help answered,long_holdtime
the wait time was long - i tried earlier in the day but had to hang up.,long_holdtime
was on hold for a long time,long_holdtime
long wait time before someone answered.,long_holdtime
i was very unhappy with the wait time to get to an actual it person.,long_holdtime
"first call on hold for 23 minutes; when i finally reach an agent, bad connection, call dropped.",long_holdtime
"second on hold 20 minutes, same thing.",long_holdtime
long hold time to reach representative.,long_holdtime
wait time for the help desk to answer my call was nearly 25 min,long_holdtime
"wait time was a little long, but expected at the time of call.",long_holdtime
hold time could've been shorter but great experience and issue resolved!,long_holdtime
the wait time is to long to reach someone.,long_holdtime
it would be nice to have the option for a call back when the wait time is long.,long_holdtime
i waited on the line for almost 20 minutes.,long_holdtime
the wait time was extremely long to get to speak with a tech.,long_holdtime
waited on hold for over 30 minutes which is too long when pt care is in the balance.,long_holdtime
"after waiting on hold for half an hour, the service i received was quick, effective and friendly.",long_holdtime
the wait time though is super long as in >40 minutes,long_holdtime
"the only issue was the on hold wait time until i spoke with a ""live"" representative.",long_holdtime
wait time on the phone to receive service was excessive.,long_holdtime
"however, the wait time to be connected with a representative took more than 30 minutes!",long_holdtime
i was on hold for ~ 15 minutes while in the middle of a work day before my call was answered.,long_holdtime
while waiting it moved me backwards 3 times within the queue,long_holdtime
i had to wait for over an hour to get technical support.,long_holdtime
i was on hold for 2 1/2 hours waiting for assistance.,long_holdtime
it's a lot of time to waste on hold and still not have a working phone at the end of the day.,long_holdtime
"high volume so had to wait quite a while but it was well worth it, patricia was great",long_holdtime
my response reflects the 1 hr+ hold time to wait for the service rep.  it took the rep about 5 minutes to help me find the solution.,long_holdtime
"the initial wait in the queue to get the call answered was nearly 45 minutes, but once connected to a specialist, the process was quick and simple.",long_holdtime
"the wait for service was long, but once i had a support person on the line it was only about 1 minute.",long_holdtime
i did have to wait over 35 minutes but it is monday lol,long_holdtime
long wait time,long_holdtime
long wait time before getting help.,long_holdtime
42 minute call with probably 30 min wait time.,long_holdtime
i was kept on hold for a long time before a technician answered,long_holdtime
i waited onhold for 36 minutes and then the call went to a busy signal and i had no choice but to hang up and start all over.,long_holdtime
i waiting another 25 minutes and received the help i needed.,long_holdtime
"once i got on the phone with someone help came quickly, it is the wait time and the hang up that is frustrating.",long_holdtime
"however, your phone lines are way too long",long_holdtime
understand call volume is high but the wait when you have stuff ongoing is difficult,long_holdtime
i was on hold for at least 45 minutes and as i was trying to get the am number the call got disconnected but the technician never called me back.,long_holdtime
"i had to call again ,wait for another 45 minutes .",long_holdtime
the wait time to get connected to an it tech is too long and the first technician should have called me back when i got disconnected.,long_holdtime
biggest issue was waiting on hold 33mins before being able to be assisted by agent who resolved the issue in 4min.,long_holdtime
just a long wait time on the phone.,long_holdtime
the wait time was a bit long but overall the experience was great,long_holdtime
only complaint is waiting on hold for over 30 min,long_holdtime
i was on hold quite awhile (10minutes?),long_holdtime
overall wait time on hold was too long but once i spoke to a person i was helped very quickly!,long_holdtime
the phone system was incredibly frustrating with unacceptable wait times.,long_holdtime
i was on hold with the service desk for 24 minutes before a technician was able to assist me.,long_holdtime
"waited 17 min before someone answered, but after that service was great!",long_holdtime
i was on hold for over an hour and a half.,long_holdtime
before i did not have to wait for a call back.,long_holdtime
i was on hold a long time this am.,long_holdtime
the wait time was absolutely horrible but once we got someone on the line we were delighted that all of the issues were able to be handled in one call.,long_holdtime
"self-service ""search"" did not bring up a knowledge article that could have saved me from a 30-min hold (twice, since i had to abandon the call the first time).",long_holdtime
i was on hold for a while until the agent answered my call.,long_holdtime
i had a long wait time for the it person.,long_holdtime
this was longer than usual.,long_holdtime
there was a 12 minute wait on the phone before i got connected with a technician.,long_holdtime
the holding wait times seem unreasonable for staff working in direct pt care.,long_holdtime
my answer to the second question has only to do with the fact that i was on hold for about 50 minutes before i got help.,long_holdtime
wait time for a call back from the helpdesk was ridiculous and disorganized with multiple dropped calls,long_holdtime
